Artist,Title,Album
DEVO,Be Stiff (Booji Boy Version),Greatest Misses
DEVO,Beautiful World,New Traditionalists
DEVO,Big Mess (demo),Recombo DNA
DEVO,Freedom Of Choice,Freedom Of Choice
DEVO,Gates Of Steel,Freedom Of Choice
DEVO,I'm A Potato,Hardcore Vol. 1
DEVO,Jerkin' Back 'N' Forth,New Traditionalists
DEVO,Satisfaction (by The Rolling Stones),Hardcore Vol. 1
DEVO,Secret Agent Man (by Johnny Rivers),Duty Now for the Future
DEVO,Sloppy (I Saw My Baby Getting),Be Stiff EP
DEVO,Social Fools,Be Stiff EP
DEVO,That's Good,Oh No! It's DEVO
DEVO,The Day My Baby Gave Me A Surprize,Duty Now For The Future
DEVO,Uncontrollable Urge,Q: Are We Not Men? A: We Are DEVO!
Dicks,Dicks Hate The Police,1980-1986
Dictators,California Sun (by The Rivieras),Go Girl Crazy!
Dictators,Stay With Me,Bloodbrothers
Didjits,Killboy Powerhead,Hornet Piata
Didjits,Police Truck (by Dead Kennedys),Virus 100
Diet Cig,Harvard,Over Easy
"DiFranco, Ani",Both Hands,Ani DiFranco
"DiFranco, Ani",Untouchable Face,Dilate
Dillinger 4,doublewhiskeycokenoice,Midwestern Songs Of The Americas
Dinosaur Jr,Freak Scene,Bug
Dinosaur Jr,Just Like Heaven (by The Cure),You're Living All Over Me
Dinosaur Jr,Over It,Farm
Dirty Projectors,Stillness Is The Move,Bitte Orca
Discharge,Protest And Survive,Hear Nothing See Nothing Say Nothing
Dismemberment Plan,A Life Of Possibilities,Emergency & I
Dismemberment Plan,Back & Forth,Emergency & I
Dismemberment Plan,The City,Emergency & I
Dismemberment Plan,The Dismemberment Plan Gets Rich,Juno & The Dismemberment Plan
Dismemberment Plan,The Ice Of Boston,...Is Terrified
Dismemberment Plan,Time Bomb,Change
Dismemberment Plan,You Are Invited,Emergency & I
Distillers,City Of Angels,Sing Sing Death House
Distillers,Drain The Blood,Coral Fang
Distillers,I Am A Revenant,Sing Sing Death House
Dollyrots,My Best Friend's Hot,Because I'm Awesome
"Dondero, David",The Living And The Dead,The Transient
Donnas,Rock 'n' Roll Machine,American Teenage Rock 'n' Roll Machine
Dream Syndicate,Tell Me When It's Over,The Days Of Wine And Roses
Dresden Dolls,Girl Anachronism,Dresden Dolls
Dresden Dolls,My Alcoholic Friends,"Yes, Virginia"
Dressy Bessy,If You Should Try To Kiss Her,Pink Hearts Yellow Moons
