Artist,Title,Album,Themes,Tags
Dead Moon,Dead Moon Night,Unknown Passage,,
Death,Freakin Out,For The Whole World To See,,
Death Angel,Bored,Frolic Through The Park,scary,
Death Cab For Cutie,The Sound Of Settling,Transatlanticism,,
Death Cab For Cutie,Title And Registration,Transatlanticism,sad,
Death From Above 1979,Black History Month,"You're A Woman, I'm A Machine",,
Death From Above 1979,Romantic Rights,"You're A Woman, I'm A Machine",,
Death From Above 1979,Sexy Results,"You're A Woman, I'm A Machine",,
Decemberists,16 Military Wives,Picaresque,,
Decemberists,The Chimbley Sweep,Her Majesty,sad; scary,
Decemberists,The Perfect Crime #2,The Crane Wife,,
Deerhunter,Revival,Halcyon Digest,,
Delta 5,Mind Your Own Business,Singles & Sessions 1979-81,,
"DeMarco, Mac",Salad Days,Salad Days,,
Desaparecidos,"Man And Wife, The Latter (Damaged Goods)",Read Music / Speak Spanish,sad,
Desaparecidos,Manana,Read Music / Speak Spanish,,
Desaparecidos,The Happiest Place On Earth,Read Music / Speak Spanish,,
Descendents,Bikeage,Somery,,
Descendents,Clean Sheets,Somery,sad,
Descendents,Coolidge,ALL,,
Descendents,Everything Sucks,Everything Sux,,
Descendents,Good Good Things,I Don't Wanna Grow Up,,
Descendents,Hope,Somery,,
Descendents,I'm The One,Everything Sucks,,
Descendents,Pep Talk,ALL,,
Descendents,Silly Girl,I Don't Want To Grow Up,,
Descendents,Sour Grapes,Somery,,
Descendents,Suburban Home,Somery,,
Destroy Boys,Crybaby,Make Room,,
Destroyer,The Very Modern Dance,Streethawk: A Seduction,,
Detroit Cobras,Bad Girl (by The Oblivians),Mink Rat Or Rabbit,,
Detroit Cobras,He Did It (by The Ronettes),"Life, Love and Leaving",sad,
Detroit Cobras,Laughing At You (by The Gardenias),"Life, Love and Leaving",,
DEVO,Be Stiff (Booji Boy Version),Greatest Misses,,
DEVO,Beautiful World,New Traditionalists,sad,
DEVO,Big Mess (demo),Recombo DNA,,
DEVO,Freedom Of Choice,Freedom Of Choice,,
DEVO,Gates Of Steel,Freedom Of Choice,,
DEVO,I'm A Potato,Hardcore Vol. 1,,
DEVO,Jerkin' Back 'N' Forth,New Traditionalists,,
DEVO,Satisfaction (by The Rolling Stones),Hardcore Vol. 1,,
DEVO,Secret Agent Man (by Johnny Rivers),Duty Now for the Future,,
DEVO,Sloppy (I Saw My Baby Getting),Be Stiff EP,,
DEVO,Social Fools,Be Stiff EP,,
DEVO,That's Good,Oh No! It's DEVO,,
DEVO,The Day My Baby Gave Me A Surprize,Duty Now For The Future,,
DEVO,Uncontrollable Urge,Q: Are We Not Men? A: We Are DEVO!,,
Dicks,Dicks Hate The Police,1980-1986,,
Dictators,California Sun (by The Rivieras),Go Girl Crazy!,,
Dictators,Stay With Me,Bloodbrothers,,
Didjits,Killboy Powerhead,Hornet Piata,,
Didjits,Police Truck (by Dead Kennedys),Virus 100,,
Diet Cig,Harvard,Over Easy,sad,
"DiFranco, Ani",Both Hands,Ani DiFranco,sad,
"DiFranco, Ani",Untouchable Face,Dilate,sad,
Dillinger 4,doublewhiskeycokenoice,Midwestern Songs Of The Americas,,
Dinosaur Jr,Freak Scene,Bug,,
Dinosaur Jr,Just Like Heaven (by The Cure),You're Living All Over Me,sad; scary,
Dinosaur Jr,Over It,Farm,,
Dirty Projectors,Stillness Is The Move,Bitte Orca,,
Discharge,Protest And Survive,Hear Nothing See Nothing Say Nothing,scary,
Dismemberment Plan,A Life Of Possibilities,Emergency & I,sad,
Dismemberment Plan,Back & Forth,Emergency & I,,
Dismemberment Plan,The City,Emergency & I,sad,
Dismemberment Plan,The Dismemberment Plan Gets Rich,Juno & The Dismemberment Plan,,
Dismemberment Plan,The Ice Of Boston,...Is Terrified,sad,
Dismemberment Plan,Time Bomb,Change,sad; scary,
Dismemberment Plan,You Are Invited,Emergency & I,,
Distillers,City Of Angels,Sing Sing Death House,sad,
Distillers,Drain The Blood,Coral Fang,sad,
Distillers,I Am A Revenant,Sing Sing Death House,sad; scary,
Dollyrots,My Best Friend's Hot,Because I'm Awesome,sad,
"Dondero, David",The Living And The Dead,The Transient,,
Donnas,Rock 'n' Roll Machine,American Teenage Rock 'n' Roll Machine,,
Dream Syndicate,Tell Me When It's Over,The Days Of Wine And Roses,sad,
Dresden Dolls,Girl Anachronism,Dresden Dolls,scary,
Dresden Dolls,My Alcoholic Friends,"Yes, Virginia",sad,
Dressy Bessy,If You Should Try To Kiss Her,Pink Hearts Yellow Moons,,
